Module	Entry Function	Relevant Properties
drivers-gpio-gpio-max7301-ko_main0.c	main	0
drivers-gpio-gpio-max732x-ko_main0.c	main	1
drivers-gpio-gpio-mc33880-ko_main0.c	main	0
drivers-gpio-gpio-mcp23s08-ko_main0.c	main	2
drivers-gpio-gpio-ml-ioh-ko_main0.c	main	2
drivers-gpio-gpio-pca953x-ko_main0.c	main	1
drivers-gpio-gpio-pcf857x-ko_main0.c	main	3
drivers-gpio-gpio-pch-ko_main0.c	main	2
drivers-gpio-gpio-rdc321x-ko_main0.c	main	0
drivers-gpio-gpio-sch311x-ko_main0.c	main	0
drivers-gpio-gpio-sch-ko_main0.c	main	1
drivers-gpio-gpio-tps65912-ko_main0.c	main	0
drivers-gpio-gpio-ts5500-ko_main0.c	main	1
drivers-gpio-gpio-ucb1400-ko_main0.c	main	0
drivers-gpio-gpio-viperboard-ko_main0.c	main	0
drivers-gpio-gpio-vx855-ko_main0.c	main	0
drivers-gpio-gpio-wm831x-ko_main0.c	main	0
drivers-gpio-gpio-wm8994-ko_main0.c	main	0
drivers-gpu-drm-amd-amdkfd-amdkfd-ko_main0.c	main	0
drivers-gpu-drm-ast-ast-ko_main0.c	main	0
drivers-gpu-drm-bochs-bochs-drm-ko_main0.c	main	1
drivers-gpu-drm-cirrus-cirrus-ko_main0.c	main	1
drivers-gpu-drm-i2c-adv7511-ko_main0.c	main	1
drivers-gpu-drm-i2c-ch7006-ko_main0.c	main	0
drivers-gpu-drm-i2c-sil164-ko_main0.c	main	0
drivers-gpu-drm-i2c-tda998x-ko_main0.c	main	2
drivers-gpu-drm-i810-i810-ko_main0.c	main	0
drivers-gpu-drm-i915-i915-ko_main0.c	main	2
drivers-gpu-drm-mgag200-mgag200-ko_main0.c	main	1
drivers-gpu-drm-mga-mga-ko_main0.c	main	0
drivers-gpu-drm-qxl-qxl-ko_main0.c	main	2
drivers-gpu-drm-r128-r128-ko_main0.c	main	0
drivers-gpu-drm-savage-savage-ko_main0.c	main	0
drivers-gpu-drm-sis-sis-ko_main0.c	main	0
drivers-gpu-drm-tdfx-tdfx-ko_main0.c	main	0
drivers-gpu-drm-ttm-ttm-ko_main0.c	main	0
drivers-gpu-drm-udl-udl-ko_main0.c	main	4
drivers-hid-hid-a4tech-ko_main0.c	main	0
drivers-hid-hid-appleir-ko_main0.c	main	1
drivers-hid-hid-apple-ko_main0.c	main	0
